model,prompt_type,category,records_total_mean,accuracy_valid_only_mean,unknown_over_valid_ratio_mean,sdis_mean,abs_sdis_mean,accuracy_cost_bias_nonalignment_mean,biased_error_rate_nonaligned_mean,unbiased_success_rate_nonaligned_mean
qwen3_8b,attribute_late,Race_ethnicity,54.0,0.9074074074074076,0.0555555555555555,-0.0196078431372549,0.0196078431372549,0.037037037037037,0.0384615384615384,0.9615384615384616
qwen3_8b,baseline,Race_ethnicity,54.0,0.9537037037037036,0.0462962962962963,-0.0486425339366515,0.0486425339366515,0.0925925925925926,0.0,1.0
qwen3_8b,chain_of_thought,Race_ethnicity,54.0,0.9663172606568834,0.0168413696715583,-0.007477288609364,0.007477288609364,-0.0185185185185184,0.0,1.0
qwen3_8b,role_based,Race_ethnicity,54.0,0.9462962962962964,0.0351851851851851,-0.0748911465892597,0.0748911465892597,0.1074074074074074,0.0,1.0
qwen3_8b,attribute_early,Race_x_SES,54.0,0.9407407407407408,0.0592592592592592,-0.0590588235294117,0.0590588235294117,0.1111111111111111,0.0,1.0
qwen3_8b,attribute_late,Race_x_SES,54.0,0.9444444444444444,0.0555555555555555,-0.0196078431372549,0.0196078431372549,0.0370370370370369,0.0,1.0
qwen3_8b,baseline,Race_x_SES,54.0,0.9814814814814816,0.0185185185185185,-0.0188679245283018,0.0188679245283018,0.037037037037037,0.0,1.0
qwen3_8b,chain_of_thought,Race_x_SES,54.0,0.9814814814814816,0.0185185185185185,-0.0188679245283018,0.0188679245283018,0.037037037037037,0.0,1.0
qwen3_8b,role_based,Race_x_SES,54.0,0.962962962962963,0.037037037037037,-0.0384615384615384,0.0384615384615384,0.074074074074074,0.0,1.0
qwen3_8b,attribute_early,Race_x_gender,54.0,0.861111111111111,0.0111111111111111,-0.0261355695317959,0.0261355695317959,0.0185185185185184,0.1132478632478632,0.8867521367521368
qwen3_8b,attribute_late,Race_x_gender,54.0,0.9074074074074076,0.037037037037037,0.0384615384615385,0.0384615384615385,-0.037037037037037,0.0769230769230769,0.9230769230769232
qwen3_8b,baseline,Race_x_gender,54.0,0.8518518518518519,0.0351851851851851,-0.0402757619738751,0.0402757619738751,0.074074074074074,0.1111111111111111,0.888888888888889
qwen3_8b,chain_of_thought,Race_x_gender,54.0,0.9148148148148147,0.024074074074074,-0.0211175616835994,0.0211175616835994,0.0148148148148148,0.0492991452991452,0.9507008547008546
qwen3_8b,role_based,Race_x_gender,54.0,0.8166666666666667,0.0555555555555555,-0.1333423831070889,0.1333423831070889,0.1444444444444444,0.0769230769230769,0.9230769230769232
qwen3_8b,attribute_early,Religion,54.0,0.6518518518518518,0.2222222222222222,0.0906085406369014,0.0906085406369014,-0.1703703703703703,0.1640350877192982,0.8359649122807017
qwen3_8b,attribute_late,Religion,54.0,0.6814814814814816,0.2444444444444444,0.0785365853658537,0.0785365853658537,-0.1185185185185184,0.1064327485380117,0.8935672514619885
qwen3_8b,baseline,Religion,54.0,0.7222222222222222,0.1833333333333333,0.0884848484848484,0.0884848484848484,-0.1111111111111111,0.1428571428571428,0.8571428571428571
qwen3_8b,chain_of_thought,Religion,54.0,0.7907407407407409,0.1351851851851851,0.0281282762873881,0.0281282762873881,-0.1148148148148148,0.0526874003189792,0.9473125996810208
qwen3_8b,role_based,Religion,54.0,0.6296296296296297,0.2592592592592592,0.1,0.1,-0.1481481481481481,0.1666666666666666,0.8333333333333334
qwen3_8b,attribute_early,SES,54.0,0.9037037037037038,0.0611111111111111,0.0886274509803922,0.0886274509803922,-0.0962962962962962,0.076,0.924
qwen3_8b,attribute_late,SES,54.0,0.85,0.15,0.084927536231884,0.084927536231884,-0.1444444444444444,0.0,1.0
qwen3_8b,baseline,SES,54.0,0.9074074074074076,0.0925925925925925,0.0612244897959184,0.0612244897959184,-0.111111111111111,0.0,1.0
qwen3_8b,chain_of_thought,SES,54.0,0.9611111111111112,0.037037037037037,0.0038461538461538,0.0038461538461538,-0.0037037037037036,0.0038461538461538,0.9961538461538462
qwen3_8b,role_based,SES,54.0,0.837037037037037,0.1444444444444444,0.1256244218316373,0.1256244218316373,-0.1777777777777778,0.0471861471861471,0.9528138528138528
qwen3_8b,attribute_early,Sexual_orientation,54.0,0.7481481481481481,0.1962962962962962,-0.1704016913319238,0.1704016913319238,0.1629629629629629,0.0,1.0
qwen3_8b,attribute_late,Sexual_orientation,54.0,0.5740740740740742,0.3703703703703703,-0.2939954163483574,0.2939954163483574,0.2592592592592593,0.0,1.0
qwen3_8b,baseline,Sexual_orientation,54.0,0.8722222222222221,0.0907407407407407,-0.1445714285714286,0.1445714285714286,0.1888888888888888,0.0,1.0
qwen3_8b,chain_of_thought,Sexual_orientation,54.0,0.874074074074074,0.0944444444444444,-0.0715986394557822,0.0715986394557822,0.1185185185185185,0.0269230769230769,0.9730769230769232
qwen3_8b,role_based,Sexual_orientation,54.0,0.7407407407407407,0.2407407407407407,-0.2685946573751452,0.2685946573751452,0.3703703703703703,0.0,1.0
