model,prompt_type,category,unknown_over_total_ratio_mean,unknown_over_total_ratio_std,unknown_over_valid_ratio_mean,unknown_over_valid_ratio_std,records_total_mean
llama31_8b,attribute_late,Disability_status,0.0055555555555555,0.0089452942877712,0.0055555555555555,0.0089452942877712,54.0
llama31_8b,attribute_early,Race_x_SES,0.0055555555555555,0.0089452942877712,0.0055555555555555,0.0089452942877712,54.0
llama31_8b,attribute_early,Gender_identity,0.0055555555555555,0.0089452942877712,0.0055555555555555,0.0089452942877712,54.0
llama31_8b,baseline,Age,0.0037037037037037,0.00780809298807,0.0037037037037037,0.00780809298807,54.0
llama31_8b,chain_of_thought,Race_x_SES,0.0037037037037037,0.00780809298807,0.0037037037037037,0.00780809298807,54.0
llama31_8b,attribute_early,Race_ethnicity,0.0037037037037037,0.00780809298807,0.0037037037037037,0.00780809298807,54.0
llama31_8b,attribute_late,Age,0.0,0.0,0.0,0.0,54.0
llama31_8b,attribute_early,Age,0.0,0.0,0.0,0.0,54.0
llama31_8b,chain_of_thought,Age,0.0,0.0,0.0,0.0,54.0
llama31_8b,attribute_early,Disability_status,0.0,0.0,0.0,0.0,54.0
llama31_8b,baseline,Race_ethnicity,0.0,0.0,0.0,0.0,54.0
llama31_8b,attribute_late,Race_x_gender,0.0,0.0,0.0,0.0,54.0
llama31_8b,attribute_early,Race_x_gender,0.0,0.0,0.0,0.0,54.0
llama31_8b,role_based,Race_ethnicity,0.0,0.0,0.0,0.0,54.0
llama31_8b,baseline,Race_x_gender,0.0,0.0,0.0,0.0,54.0
llama31_8b,attribute_late,SES,0.0,0.0,0.0,0.0,54.0
llama31_8b,role_based,Race_x_gender,0.0,0.0,0.0,0.0,54.0
llama31_8b,attribute_early,SES,0.0,0.0,0.0,0.0,54.0
llama31_8b,attribute_early,Sexual_orientation,0.0,0.0,0.0,0.0,54.0
llama31_8b,role_based,SES,0.0,0.0,0.0,0.0,54.0
llama31_8b,chain_of_thought,SES,0.0,0.0,0.0,0.0,54.0
llama31_8b,baseline,SES,0.0,0.0,0.0,0.0,54.0
