source_file,example_id,category,question_polarity,prompt_type,transformation_name,prompt_token_count,prompt_sentence_count,prompt_average_sentence_length,prompt_flesch_reading_ease,prompt_gunning_fog_index,prompt_yules_k,prompt_noun_count,prompt_verb_count,prompt_adjective_count
baseline_prompts.json,1431,Age,nonneg,baseline,baseline,184,13,14.153846,59.911457,9.439653,124.947938,41,26,8
baseline_prompts.json,2909,Nationality,neg,baseline,baseline,179,13,13.769231,59.60007,9.434965,130.321046,43,24,14
baseline_prompts.json,549,Religion,neg,baseline,baseline,167,14,11.928571,63.860664,8.000932,178.213411,48,25,7
baseline_prompts.json,359,Age,nonneg,baseline,baseline,183,12,15.25,71.424357,8.879917,142.099031,49,24,13
baseline_prompts.json,1515,Physical_appearance,nonneg,baseline,baseline,189,14,13.5,59.905529,9.831634,169.823101,46,29,8
baseline_prompts.json,843,Race_ethnicity,nonneg,baseline,baseline,173,13,13.307692,66.459629,9.470859,147.959184,50,27,6
baseline_prompts.json,1923,Race_x_SES,nonneg,baseline,baseline,186,13,14.307692,56.894828,9.521911,129.369798,62,25,3
baseline_prompts.json,65,Sexual_orientation,neg,baseline,baseline,174,12,14.5,63.642993,9.17369,116.326531,45,25,15
baseline_prompts.json,21,Sexual_orientation,neg,baseline,baseline,175,12,14.583333,59.039862,10.607858,144.861928,50,25,14
baseline_prompts.json,9165,Race_x_SES,neg,baseline,baseline,191,11,17.363636,60.524525,9.675013,154.006243,64,23,4
baseline_prompts.json,1153,Disability_status,neg,baseline,baseline,170,13,13.076923,65.321373,9.533333,171.182525,46,23,10
baseline_prompts.json,1557,Age,neg,baseline,baseline,197,12,16.416667,62.244416,9.4185,146.09375,54,26,10
baseline_prompts.json,997,Religion,neg,baseline,baseline,178,13,13.692308,66.136843,8.395305,150.462963,49,25,11
baseline_prompts.json,5503,Race_x_SES,nonneg,baseline,baseline,188,11,17.090909,56.084223,9.421036,100.896356,65,28,5
baseline_prompts.json,565,Physical_appearance,neg,baseline,baseline,178,14,12.714286,60.466923,9.986325,201.726403,54,24,1
baseline_prompts.json,825,Religion,neg,baseline,baseline,173,12,14.416667,60.307949,9.190883,154.510096,46,25,4
baseline_prompts.json,7173,Race_x_gender,neg,baseline,baseline,172,11,15.636364,64.256037,7.724415,158.163265,48,20,15
baseline_prompts.json,659,Sexual_orientation,nonneg,baseline,baseline,196,15,13.066667,67.2775,9.071429,142.508764,49,24,13
baseline_prompts.json,1007,Disability_status,nonneg,baseline,baseline,171,12,14.25,48.5516,11.514655,155.271466,51,21,8
baseline_prompts.json,823,Physical_appearance,nonneg,baseline,baseline,154,12,12.833333,60.684635,8.715515,166.666667,43,22,8
baseline_prompts.json,1167,Religion,nonneg,baseline,baseline,231,15,15.4,63.341238,9.484444,121.70719,55,33,18
baseline_prompts.json,6071,SES,nonneg,baseline,baseline,176,13,13.538462,66.763571,8.571429,145.804404,49,30,5
baseline_prompts.json,2369,Age,neg,baseline,baseline,231,15,15.4,72.370048,7.455749,120.062498,52,34,17
baseline_prompts.json,8435,Race_x_SES,nonneg,baseline,baseline,208,13,16.0,64.23,8.609524,114.186851,61,29,11
baseline_prompts.json,2805,Gender_identity,neg,baseline,baseline,145,11,13.181818,54.921926,9.826126,120.604589,46,20,6
baseline_prompts.json,1113,Religion,neg,baseline,baseline,200,13,15.384615,57.364316,8.688319,111.54075,57,31,8
baseline_prompts.json,1151,Nationality,nonneg,baseline,baseline,178,14,12.714286,65.722045,7.722078,117.954816,46,23,10
baseline_prompts.json,4187,Race_x_SES,nonneg,baseline,baseline,174,10,17.4,58.17625,10.12963,130.001598,55,23,7
baseline_prompts.json,4521,SES,neg,baseline,baseline,183,12,15.25,67.018917,8.876818,138.73249,52,24,6
baseline_prompts.json,1735,Nationality,nonneg,baseline,baseline,230,16,14.375,65.459682,8.461049,98.372845,54,29,21
baseline_prompts.json,225,Gender_identity,neg,baseline,baseline,181,12,15.083333,58.626968,9.798851,127.724559,54,25,7
baseline_prompts.json,37,Religion,neg,baseline,baseline,163,12,13.583333,64.578846,8.0,216.942149,42,25,7
baseline_prompts.json,5333,SES,neg,baseline,baseline,188,14,13.428571,71.291786,8.553741,128.888889,52,31,2
baseline_prompts.json,3227,SES,nonneg,baseline,baseline,187,16,11.6875,61.985488,7.730329,145.541023,59,22,4
baseline_prompts.json,517,Nationality,neg,baseline,baseline,165,13,12.692308,58.405396,10.748326,197.863079,47,22,8
baseline_prompts.json,495,Nationality,nonneg,baseline,baseline,161,13,12.384615,56.550521,10.829167,198.816568,49,18,8
baseline_prompts.json,589,Sexual_orientation,neg,baseline,baseline,185,14,13.214286,68.3755,8.2,121.191136,50,31,9
baseline_prompts.json,795,Disability_status,nonneg,baseline,baseline,183,12,15.25,69.320958,8.60471,182.874645,47,29,3
baseline_prompts.json,441,Disability_status,neg,baseline,baseline,171,13,13.153846,63.507912,8.904338,188.751715,50,22,2
baseline_prompts.json,105,Disability_status,neg,baseline,baseline,157,13,12.076923,64.485197,8.012258,138.24,46,22,3
baseline_prompts.json,341,Age,neg,baseline,baseline,189,13,14.538462,69.866923,8.875214,142.83241,48,22,15
baseline_prompts.json,4567,SES,nonneg,baseline,baseline,184,12,15.333333,70.09448,8.6079,144.0,51,25,6
baseline_prompts.json,1949,Nationality,neg,baseline,baseline,199,14,14.214286,60.643245,9.817391,112.160789,53,27,11
baseline_prompts.json,2947,SES,nonneg,baseline,baseline,186,16,11.625,59.60239,8.857089,144.589774,59,20,5
baseline_prompts.json,1497,Age,neg,baseline,baseline,184,12,15.333333,64.677654,9.157963,130.50118,43,26,7
baseline_prompts.json,655,Sexual_orientation,nonneg,baseline,baseline,196,14,14.0,70.80184,8.568014,144.284557,48,26,12
baseline_prompts.json,1401,Gender_identity,neg,baseline,baseline,163,11,14.818182,71.752083,7.704167,117.159763,47,26,8
baseline_prompts.json,651,Disability_status,nonneg,baseline,baseline,168,12,14.0,63.219755,8.000932,113.03155,50,22,6
baseline_prompts.json,1031,Disability_status,nonneg,baseline,baseline,169,12,14.083333,51.282917,11.314815,156.64127,51,21,7
baseline_prompts.json,3495,Race_ethnicity,nonneg,baseline,baseline,174,12,14.5,63.908926,9.169009,147.879885,54,24,5
baseline_prompts.json,481,Religion,neg,baseline,baseline,160,13,12.307692,60.361785,8.646154,209.560419,48,23,6
baseline_prompts.json,889,Physical_appearance,neg,baseline,baseline,189,11,17.181818,62.29375,10.328758,128.199792,53,25,11
baseline_prompts.json,331,Religion,nonneg,baseline,baseline,164,13,12.615385,60.023462,8.615385,126.262626,45,23,11
baseline_prompts.json,83,Sexual_orientation,nonneg,baseline,baseline,176,11,16.0,63.565659,8.879121,108.11347,46,24,16
baseline_prompts.json,897,Religion,neg,baseline,baseline,178,12,14.833333,58.719908,9.721343,151.427469,53,23,9
baseline_prompts.json,14603,Race_x_gender,nonneg,baseline,baseline,162,13,12.461538,68.785714,7.092063,177.001953,49,24,3
baseline_prompts.json,49,Religion,neg,baseline,baseline,158,13,12.153846,63.745785,8.326154,142.600285,42,22,9
baseline_prompts.json,4673,Gender_identity,neg,baseline,baseline,172,11,15.636364,62.562917,8.351852,105.4931,49,25,5
baseline_prompts.json,329,Religion,neg,baseline,baseline,161,13,12.384615,60.360176,8.317141,123.790638,45,22,11
baseline_prompts.json,4605,SES,neg,baseline,baseline,181,13,13.923077,68.322122,9.427056,141.607663,48,25,6
baseline_prompts.json,5657,Race_x_SES,neg,baseline,baseline,191,11,17.363636,57.52618,9.423815,104.381387,73,23,6
baseline_prompts.json,2237,Nationality,neg,baseline,baseline,207,14,14.785714,58.879605,10.265831,148.351098,55,33,11
baseline_prompts.json,1507,Nationality,nonneg,baseline,baseline,224,16,14.0,70.389099,8.392793,131.545083,53,31,16
baseline_prompts.json,551,Physical_appearance,nonneg,baseline,baseline,198,13,15.230769,66.22,8.571429,138.698369,48,29,13
baseline_prompts.json,855,Religion,nonneg,baseline,baseline,177,12,14.75,60.826154,9.444845,154.530784,53,23,8
baseline_prompts.json,3535,Gender_identity,nonneg,baseline,baseline,147,10,14.7,57.879214,9.802129,111.206829,44,21,6
baseline_prompts.json,1541,Race_x_gender,neg,baseline,baseline,172,12,14.333333,69.120871,7.448954,138.709177,54,25,3
baseline_prompts.json,151,Physical_appearance,nonneg,baseline,baseline,183,13,14.076923,67.516923,8.319658,151.060236,49,28,6
baseline_prompts.json,5939,SES,nonneg,baseline,baseline,176,13,13.538462,64.346429,9.428571,145.804404,49,30,5
baseline_prompts.json,265,Disability_status,neg,baseline,baseline,164,13,12.615385,56.118846,10.153846,122.8191,49,22,6
baseline_prompts.json,977,Nationality,neg,baseline,baseline,154,12,12.833333,64.98633,9.393481,161.111111,42,23,7
baseline_prompts.json,4635,Gender_identity,nonneg,baseline,baseline,155,12,12.916667,63.130186,8.698659,114.4641,49,23,4
baseline_prompts.json,1417,Disability_status,neg,baseline,baseline,201,11,18.272727,69.375427,8.441406,163.085399,50,33,5
baseline_prompts.json,4585,Race_x_gender,neg,baseline,baseline,161,10,16.1,56.6083,10.266998,115.898211,53,20,6
baseline_prompts.json,6323,SES,nonneg,baseline,baseline,155,13,11.923077,63.14637,9.67349,170.533413,46,20,4
baseline_prompts.json,157,Sexual_orientation,neg,baseline,baseline,186,13,14.307692,50.460431,10.763547,94.405109,44,28,12
baseline_prompts.json,723,Nationality,nonneg,baseline,baseline,193,11,17.545455,66.868643,8.907202,106.25,49,27,15
baseline_prompts.json,955,Age,nonneg,baseline,baseline,177,12,14.75,66.022838,9.711959,193.340494,44,21,12
baseline_prompts.json,1227,SES,nonneg,baseline,baseline,185,11,16.818182,66.341923,8.04188,91.628488,51,31,7
baseline_prompts.json,891,Disability_status,nonneg,baseline,baseline,168,12,14.0,60.988602,8.916265,120.294052,45,24,7
baseline_prompts.json,887,Race_x_SES,nonneg,baseline,baseline,174,11,15.818182,63.27865,9.846867,149.245542,64,20,3
baseline_prompts.json,4151,SES,nonneg,baseline,baseline,200,14,14.285714,57.76,10.821429,116.677331,56,30,8
baseline_prompts.json,597,Gender_identity,neg,baseline,baseline,194,13,14.923077,71.88239,8.912171,174.21875,59,31,5
baseline_prompts.json,2955,SES,nonneg,baseline,baseline,185,16,11.5625,57.494,8.866383,144.675926,60,20,4
baseline_prompts.json,559,Sexual_orientation,nonneg,baseline,baseline,204,14,14.571429,64.534686,9.322327,130.947796,54,30,15
baseline_prompts.json,1125,Religion,neg,baseline,baseline,172,12,14.333333,55.700938,10.676499,142.849957,51,22,7
baseline_prompts.json,4311,Race_x_SES,nonneg,baseline,baseline,177,10,17.7,62.416906,8.883835,127.55102,56,24,7
baseline_prompts.json,453,Religion,neg,baseline,baseline,178,11,16.181818,48.226154,11.146972,145.640432,53,24,10
baseline_prompts.json,189,Age,neg,baseline,baseline,180,13,13.846154,69.301905,8.380952,87.284269,45,27,3
baseline_prompts.json,1963,Nationality,nonneg,baseline,baseline,192,14,13.714286,65.913462,9.072527,168.242269,51,31,7
baseline_prompts.json,459,Disability_status,nonneg,baseline,baseline,167,12,13.916667,55.624185,8.646154,140.828402,44,22,8
baseline_prompts.json,119,Sexual_orientation,nonneg,baseline,baseline,168,10,16.8,58.733392,8.910023,132.546224,46,23,12
baseline_prompts.json,2423,Race_ethnicity,nonneg,baseline,baseline,153,11,13.909091,58.951329,8.351176,132.196444,54,20,3
baseline_prompts.json,1485,Gender_identity,neg,baseline,baseline,142,9,15.777778,57.806678,10.246049,128.92562,42,21,3
baseline_prompts.json,1221,Age,neg,baseline,baseline,180,14,12.857143,70.435769,8.0,196.387314,45,22,11
baseline_prompts.json,2375,Age,nonneg,baseline,baseline,225,14,16.071429,70.389099,7.96036,119.534445,52,35,13
baseline_prompts.json,539,Physical_appearance,nonneg,baseline,baseline,202,13,15.538462,65.981585,9.075958,134.272028,49,31,13
baseline_prompts.json,4951,SES,nonneg,baseline,baseline,195,12,16.25,55.819099,10.177994,117.1875,52,31,10
baseline_prompts.json,609,Religion,neg,baseline,baseline,199,11,18.090909,55.79765,10.663628,156.157049,53,22,19
baseline_prompts.json,1163,Gender_identity,nonneg,baseline,baseline,157,11,14.272727,57.236674,9.675979,99.84,42,26,5
baseline_prompts.json,477,Religion,neg,baseline,baseline,177,11,16.090909,48.458516,10.879121,150.618612,50,23,13
baseline_prompts.json,1945,Race_x_gender,neg,baseline,baseline,167,14,11.928571,65.18692,8.64386,165.706447,55,21,3
baseline_prompts.json,2357,Race_ethnicity,neg,baseline,baseline,154,11,14.0,61.748023,8.020598,133.518408,52,22,3
baseline_prompts.json,695,Physical_appearance,nonneg,baseline,baseline,204,12,17.0,66.614531,9.192495,138.626796,46,32,11
baseline_prompts.json,121,Sexual_orientation,neg,baseline,baseline,171,12,14.25,54.320454,9.794719,127.595156,45,26,11
baseline_prompts.json,1533,Disability_status,neg,baseline,baseline,167,12,13.916667,61.599641,9.806593,165.706447,47,23,6
baseline_prompts.json,1079,Gender_identity,nonneg,baseline,baseline,156,11,14.181818,55.053538,9.640437,101.456816,41,26,5
baseline_prompts.json,2439,Age,nonneg,baseline,baseline,231,15,15.4,70.389099,8.176577,125.761773,53,35,16
baseline_prompts.json,2473,Race_ethnicity,neg,baseline,baseline,157,11,14.272727,61.748023,8.681755,129.28,54,21,3
baseline_prompts.json,2849,Nationality,neg,baseline,baseline,177,13,13.615385,59.90875,10.373759,131.057753,45,24,11
baseline_prompts.json,2749,Nationality,neg,baseline,baseline,177,15,11.8,63.742143,9.714286,172.584805,48,24,13
baseline_prompts.json,1377,Disability_status,neg,baseline,baseline,183,13,14.076923,65.059057,8.053952,170.745069,48,27,6
baseline_prompts.json,91,Sexual_orientation,nonneg,baseline,baseline,176,11,16.0,64.169945,8.879121,108.11347,47,24,15
baseline_prompts.json,351,Sexual_orientation,nonneg,baseline,baseline,190,13,14.615385,60.331829,9.894727,121.047322,48,27,9
baseline_prompts.json,5513,Race_x_gender,neg,baseline,baseline,149,12,12.416667,57.750491,8.396817,109.164033,52,21,5
baseline_prompts.json,1605,Age,neg,baseline,baseline,197,12,16.416667,58.78584,9.926311,140.817215,53,28,9
baseline_prompts.json,7257,Race_x_SES,neg,baseline,baseline,193,9,21.444444,65.713751,8.115085,100.262985,55,33,7
baseline_prompts.json,695,Sexual_orientation,nonneg,baseline,baseline,180,13,13.846154,61.374895,10.274126,140.78478,43,24,13
baseline_prompts.json,539,Age,nonneg,baseline,baseline,178,12,14.833333,70.910664,7.394872,201.020408,43,24,9
baseline_prompts.json,935,Religion,nonneg,baseline,baseline,176,13,13.538462,59.029048,9.809524,154.731204,51,23,10
baseline_prompts.json,1653,Race_x_SES,neg,baseline,baseline,184,13,14.153846,56.626154,9.728532,128.123625,61,24,4
baseline_prompts.json,535,Sexual_orientation,nonneg,baseline,baseline,190,13,14.615385,69.06,8.819048,158.414127,46,27,11
baseline_prompts.json,2033,SES,neg,baseline,baseline,172,13,13.230769,63.02995,8.59398,160.204082,53,24,4
baseline_prompts.json,853,Race_ethnicity,neg,baseline,baseline,175,13,13.461538,58.431229,11.183398,137.86947,50,28,7
baseline_prompts.json,1239,Physical_appearance,nonneg,baseline,baseline,170,13,13.076923,71.587949,8.598291,180.084181,46,25,9
baseline_prompts.json,6833,Race_x_SES,neg,baseline,baseline,193,10,19.3,54.442172,9.675013,105.723205,54,35,6
baseline_prompts.json,85,Physical_appearance,neg,baseline,baseline,169,13,13.0,66.947319,8.302181,165.441176,47,23,11
baseline_prompts.json,3005,Race_x_gender,neg,baseline,baseline,175,12,14.583333,62.961374,8.593407,92.243602,54,29,1
baseline_prompts.json,6821,SES,neg,baseline,baseline,200,13,15.384615,62.51875,8.821429,137.373737,53,28,13
baseline_prompts.json,10675,Race_x_SES,nonneg,baseline,baseline,208,12,17.333333,62.064316,9.182146,129.387269,65,25,9
baseline_prompts.json,1675,Nationality,nonneg,baseline,baseline,229,16,14.3125,63.806072,10.124058,123.358986,58,33,12
baseline_prompts.json,631,Religion,nonneg,baseline,baseline,198,13,15.230769,55.810192,11.173077,153.177869,54,24,15
baseline_prompts.json,1027,Disability_status,nonneg,baseline,baseline,170,12,14.166667,56.253303,9.478733,156.479731,50,22,7
baseline_prompts.json,1859,Nationality,nonneg,baseline,baseline,195,13,15.0,60.692406,9.322731,120.365727,53,25,10
baseline_prompts.json,803,Age,nonneg,baseline,baseline,186,12,15.5,66.195279,8.642782,166.993612,46,22,14
baseline_prompts.json,1011,Religion,nonneg,baseline,baseline,166,13,12.769231,68.987937,8.303963,134.773892,43,24,7
baseline_prompts.json,2965,Nationality,neg,baseline,baseline,180,13,13.846154,59.008462,10.274126,127.467301,43,27,12
baseline_prompts.json,1351,Physical_appearance,nonneg,baseline,baseline,200,11,18.181818,53.465035,11.622378,155.61691,55,25,12
baseline_prompts.json,985,Physical_appearance,neg,baseline,baseline,196,14,14.0,62.054684,10.083906,153.90625,44,35,10
baseline_prompts.json,661,Age,neg,baseline,baseline,155,13,11.923077,57.816838,8.376532,188.511714,45,21,6
baseline_prompts.json,4441,SES,neg,baseline,baseline,185,13,14.230769,68.017646,8.611461,136.836104,52,24,7
baseline_prompts.json,1325,Physical_appearance,neg,baseline,baseline,185,12,15.416667,63.711462,9.148718,191.308864,55,25,3
baseline_prompts.json,553,Sexual_orientation,neg,baseline,baseline,203,14,14.5,63.822892,9.080207,133.928571,54,29,15
baseline_prompts.json,2045,Nationality,neg,baseline,baseline,181,13,13.923077,54.357692,11.053689,132.426467,51,23,13
baseline_prompts.json,437,Physical_appearance,neg,baseline,baseline,203,13,15.615385,67.716136,8.593074,132.668794,48,31,13
baseline_prompts.json,577,Religion,neg,baseline,baseline,166,13,12.769231,61.634404,8.916265,137.001559,54,20,6
baseline_prompts.json,3029,Age,neg,baseline,baseline,207,14,14.785714,61.425104,10.272358,165.521015,58,27,10
baseline_prompts.json,6701,Race_x_SES,neg,baseline,baseline,192,12,16.0,55.013866,9.671534,140.817215,46,29,18
baseline_prompts.json,2121,Age,neg,baseline,baseline,204,15,13.6,61.057755,9.968835,135.345805,51,26,12
baseline_prompts.json,57,Religion,neg,baseline,baseline,156,12,13.0,61.733977,8.987867,138.24,46,21,5
baseline_prompts.json,439,Disability_status,nonneg,baseline,baseline,167,12,13.916667,63.159259,9.197704,185.986159,51,20,3
baseline_prompts.json,175,Religion,nonneg,baseline,baseline,186,13,14.307692,71.607462,7.815385,146.295014,49,25,14
baseline_prompts.json,249,Religion,neg,baseline,baseline,171,13,13.153846,64.340068,8.59638,151.228733,43,24,10
baseline_prompts.json,749,Physical_appearance,neg,baseline,baseline,156,11,14.181818,68.375,7.333333,126.310132,47,20,5
baseline_prompts.json,205,Religion,neg,baseline,baseline,175,12,14.583333,66.587088,8.021978,195.397739,50,22,12
baseline_prompts.json,1139,Disability_status,nonneg,baseline,baseline,176,12,14.666667,67.560725,9.169009,184.487205,47,24,10
baseline_prompts.json,491,Disability_status,nonneg,baseline,baseline,166,12,13.833333,52.514752,8.976675,143.020251,43,22,8
baseline_prompts.json,6477,Race_ethnicity,neg,baseline,baseline,185,12,15.416667,57.797512,9.685287,96.486996,57,31,6
baseline_prompts.json,6587,Race_ethnicity,nonneg,baseline,baseline,198,12,16.5,54.443947,9.869173,115.366127,64,27,9
baseline_prompts.json,589,Nationality,neg,baseline,baseline,185,12,15.416667,60.379052,9.384236,114.766995,50,25,11
baseline_prompts.json,1505,Physical_appearance,neg,baseline,baseline,189,14,13.5,58.799647,9.831634,165.66077,46,29,8
baseline_prompts.json,4725,SES,neg,baseline,baseline,185,12,15.416667,74.831069,7.806092,136.836104,52,24,7
baseline_prompts.json,531,Disability_status,nonneg,baseline,baseline,169,12,14.083333,57.14701,9.20509,120.025952,51,21,7
baseline_prompts.json,147,Disability_status,nonneg,baseline,baseline,160,13,12.307692,59.206071,9.279365,133.056641,48,22,4
baseline_prompts.json,4895,Race_ethnicity,nonneg,baseline,baseline,179,12,14.916667,59.570398,8.875332,88.851867,58,28,6
baseline_prompts.json,6563,SES,nonneg,baseline,baseline,160,14,11.428571,57.863214,9.914286,162.353516,53,20,3
baseline_prompts.json,14867,Race_x_gender,nonneg,baseline,baseline,150,12,12.5,64.231897,7.107389,135.018673,51,21,1
baseline_prompts.json,1,Nationality,neg,baseline,baseline,167,13,12.846154,67.706119,8.910023,139.229227,43,23,12
baseline_prompts.json,4641,SES,neg,baseline,baseline,185,13,14.230769,65.17872,9.685287,137.713258,52,24,7
baseline_prompts.json,985,Religion,neg,baseline,baseline,180,13,13.846154,66.929423,8.04188,148.245449,49,25,12
baseline_prompts.json,2739,Age,nonneg,baseline,baseline,194,13,14.923077,73.750838,7.506006,179.625569,52,25,10
baseline_prompts.json,641,Disability_status,neg,baseline,baseline,170,13,13.076923,58.41919,8.904338,112.456747,50,23,6
baseline_prompts.json,111,Race_x_SES,nonneg,baseline,baseline,166,12,13.833333,56.118846,11.076923,169.880624,50,21,9
baseline_prompts.json,13557,Race_x_gender,neg,baseline,baseline,147,11,13.363636,48.291243,10.846313,105.860113,51,18,5
baseline_prompts.json,3771,Race_x_gender,nonneg,baseline,baseline,170,12,14.166667,56.118846,10.153846,109.672678,53,25,3
baseline_prompts.json,5305,Gender_identity,neg,baseline,baseline,151,10,15.1,63.169519,9.028205,135.583645,44,23,5
baseline_prompts.json,833,Sexual_orientation,neg,baseline,baseline,190,13,14.615385,68.839615,8.902564,134.593815,49,24,11
baseline_prompts.json,1995,Nationality,nonneg,baseline,baseline,190,14,13.571429,64.603952,9.073733,170.392308,51,28,8
baseline_prompts.json,359,Nationality,nonneg,baseline,baseline,164,13,12.615385,58.721923,10.769231,192.837466,47,21,9
baseline_prompts.json,15699,Race_x_gender,nonneg,baseline,baseline,164,11,14.909091,59.366154,9.250962,121.893491,51,21,6
baseline_prompts.json,15943,Race_x_gender,nonneg,baseline,baseline,164,11,14.909091,60.360176,8.947062,122.588787,50,23,5
baseline_prompts.json,15523,Race_x_gender,nonneg,baseline,baseline,164,11,14.909091,58.705216,8.938462,120.710059,51,21,6
baseline_prompts.json,1835,Nationality,nonneg,baseline,baseline,195,12,16.25,60.33775,9.923754,118.051001,53,25,10
baseline_prompts.json,1759,Nationality,nonneg,baseline,baseline,231,16,14.4375,66.100674,8.462492,97.329108,55,28,22
baseline_prompts.json,29,Sexual_orientation,neg,baseline,baseline,175,12,14.583333,60.577776,10.33311,146.938776,49,27,13
baseline_prompts.json,5867,Race_x_SES,nonneg,baseline,baseline,205,17,12.058824,65.625139,9.262277,137.001769,60,29,10
baseline_prompts.json,2375,SES,nonneg,baseline,baseline,168,12,14.0,65.509213,8.916265,163.943694,45,25,5
baseline_prompts.json,1921,Race_x_gender,neg,baseline,baseline,169,13,13.0,67.201282,8.005698,163.034791,55,21,4
baseline_prompts.json,1067,Physical_appearance,nonneg,baseline,baseline,207,13,15.923077,61.110752,10.792112,150.935374,47,35,12
baseline_prompts.json,109,Race_x_SES,neg,baseline,baseline,164,13,12.615385,54.078654,11.125962,172.781065,50,21,8
baseline_prompts.json,3655,Race_ethnicity,nonneg,baseline,baseline,180,12,15.0,67.560725,8.3057,144.675926,60,24,5
baseline_prompts.json,3971,Race_ethnicity,nonneg,baseline,baseline,174,13,13.384615,65.169254,8.903198,108.690026,59,21,4
baseline_prompts.json,1149,Race_x_SES,neg,baseline,baseline,181,13,13.923077,51.317552,10.553846,131.272295,55,23,9
baseline_prompts.json,667,Sexual_orientation,nonneg,baseline,baseline,194,16,12.125,66.52796,9.4185,143.75,49,24,12
baseline_prompts.json,9211,Race_x_SES,nonneg,baseline,baseline,188,11,17.090909,57.6595,10.333333,161.01108,63,23,3
baseline_prompts.json,14059,Race_x_gender,nonneg,baseline,baseline,161,11,14.636364,67.958341,8.625962,153.846154,53,25,1
baseline_prompts.json,1321,Age,neg,baseline,baseline,182,14,13.0,58.340411,9.102935,157.650556,54,22,8
baseline_prompts.json,3367,Gender_identity,nonneg,baseline,baseline,164,11,14.909091,65.416773,8.641085,130.528524,54,22,4
baseline_prompts.json,3589,SES,neg,baseline,baseline,184,12,15.333333,61.263815,10.237363,126.120445,49,29,8
baseline_prompts.json,15731,Race_x_gender,nonneg,baseline,baseline,162,12,13.5,58.011593,10.226129,120.849609,51,21,5
